software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
Siesta,"OOKAMI, Stampede-2","Siesta is an efficient and versatile simulation package based on density-functional theory (DFT) for electronic structure calculations in materials science. It is specialized in atomistic simulations of solids and nanostructures, providing tools for understanding and predicting material properties at the quantum level.","Density-functional theory, Electronic structure calculations, Material property prediction","materials science, electronic structure, quantum simulations",Electronic Structure,Materials Science,Material Modeling,Simulation Package,https://departments.icmab.es/leem/siesta/,https://departments.icmab.es/leem/siesta/Documentation/index.html,https://siesta-project.org/SIESTA_MATERIAL/Docs/Tutorials/index.html
OpenSSL,"OOKAMI, ACES","OpenSSL is a robust, commercial-grade, and full-featured toolkit for the Transport Layer Security (TLS) and Secure Sockets Layer (SSL) protocols. It is also a general-purpose cryptography library.","Implementation of SSL and TLS protocols, Cryptographic functions and utilities, Secure communication over computer networks, Support for a wide range of cryptographic algorithms","cryptography, security, networking",,,Security,Library,https://www.openssl.org/,https://www.openssl.org/docs/,"https://www.openssl.org/community/getting-started.html,https://www.digitalocean.com/community/tutorials/openssl-essentials-working-with-ssl-certificates-private-keys-and-csrs"
GIFLIB,ACES,"GIFLIB is a library that provides support for reading and writing GIF (Graphics Interchange Format) images. It offers tools and utilities for handling GIF image files, including decoding, encoding, and manipulating GIF image data.","Reading and writing GIF images, Decoding and encoding GIF data, Color manipulation and transparency, Optimization and compression, Cross-platform compatibility","GIF image format, image processing, image manipulation, file format library",Image Processing,Computer Graphics,Open Source,Image Library,,,
DNNL,KyRIC,Intel Math Kernel Library for Deep Neural Networks (DNNL) is an open-source performance library for deep learning applications. It provides highly optimized building blocks to accelerate deep learning frameworks on Intel architecture.,"Optimized primitives for deep learning operations, Support for popular deep learning frameworks like TensorFlow, PyTorch, etc., Hardware acceleration for Intel architecture, Support for convolutional, inner product, and recurrent neural network operations","Deep Learning, Neural Networks, Performance Optimization, Intel Architecture",Deep Learning,Computer Science,Performance Optimization,Library,,,
WIEN2k,Bridges-2,"WIEN2k is an all-electron density-functional theory (DFT) software package used for calculating the electronic structure of solids. It performs quantum mechanical computations to study crystal properties, band structures, and magnetic properties of materials.","Electronic structure calculations, Density-functional theory (DFT), Solid state physics simulations","Materials Science, Density-Functional Theory, Crystal Properties",Computational Physics,Materials Science,Tool,Simulation Package,,,
Emacs,"Anvil, Rockfish","Emacs is a highly extensible, customizable, and powerful text editor primarily used for programming and script writing. It offers a variety of features, including syntax highlighting, editing modes, and an integrated environment for software development.","Extensible with Lisp programming language, Multiple editing modes (programming languages, markup languages), Syntax highlighting and code formatting, Customizable keybindings, Integrated tools for version control, compilation, and more","text editor, Lisp-based extensibility, programming environment, software development",Text Editing,Computer Science,Open Source,Text Editor,,,
gnuparallel,Stampede-2,"GNU Parallel is a command-line tool for executing shell scripts or commands in parallel, providing efficient and fast parallel execution of tasks on Unix-like systems.","Parallel execution of shell scripts or commands, Support for distributing tasks to multiple processors/cores, Flexible and customizable job control options","Parallel Processing, Command-line Tool, Unix-like Systems",High-Performance Computing,Computational Science,Parallel Processing Tool,Utility,,,
Reference LAPACK,,"Reference LAPACK is an open-source software library that provides a reference implementation of LAPACK (Linear Algebra PACKage) routines. LAPACK offers a collection of efficient and reliable linear algebra subroutines for solving systems of linear equations, eigenvalue problems, and singular value decomposition.","Linear algebra computations, Matrix factorization, Eigenvalue and SVD operations","linear algebra, computational libraries, numerical methods",Numerical Linear Algebra,Mathematics,Linear Algebra,Library,,,
hwloc,"OOKAMI, Anvil, KyRIC, ACES, Rockfish","hwloc (Hardware Locality) is a tool for exploring and manipulating the hierarchical topology of modern computing systems, including multicore processors, NUMA memory domains, and GPUs. It provides insights into system architecture for optimizing software performance and resource management.","Exploration and manipulation of system hierarchies, Identification of hardware resources and topologies, Optimization of software performance and resource utilization","System Topology, Resource Management, Performance Optimization",System Architecture,Computer Science,System Topology Tool,Tool,,,
Lua,"Expanse, OOKAMI, ACES","Lua is a lightweight, high-level, multi-paradigm programming language designed primarily for embedded systems and clients. It is cross-platform and features a simple procedural syntax with powerful data description constructs.","Lightweight and fast, Embeddable and extensible, Simple and efficient procedural syntax, Dynamic data structures, Automatic memory management","Programming Language, Embeddable, Scripting Language",Software Development,Computer Science,Stand Alone,Programming Language,,,
gnuplot,"OOKAMI, ACES, Rockfish",Gnuplot is a powerful plotting program that allows you to create 2D and 3D graphs from data in various formats. It is widely used for visualizing numerical data and mathematical functions.,"Plotting of 2D and 3D graphs, Support for various graph types (e.g., scatter plots, histograms), Highly customizable plot settings and styles","Plotting, Visualization, Data Analysis",Data Visualization,Science,Plotting Software,Tool,,,
